<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.11	07:42:00	1.09407	1.09409	1.09404	1.09406	15	0	4
2024.03.11	07:43:00	1.09406	1.09406	1.09404	1.09405	34	0	4
2024.03.11	07:44:00	1.09405	1.09415	1.09401	1.09415	32	0	4
2024.03.11	07:45:00	1.09415	1.09418	1.09415	1.09417	28	0	4
2024.03.11	07:46:00	1.09416	1.09416	1.09411	1.09412	39	0	4
2024.03.11	07:47:00	1.09409	1.09413	1.09408	1.09408	20	0	4
2024.03.11	07:48:00	1.09408	1.09411	1.09407	1.09411	34	0	4
2024.03.11	07:49:00	1.09412	1.09412	1.09393	1.09395	61	0	4
2024.03.11	07:50:00	1.09396	1.09399	1.09393	1.09396	58	0	4
2024.03.11	07:51:00	1.09396	1.09401	1.09395	1.09396	32	0	4
2024.03.11	07:52:00	1.09396	1.09396	1.09389	1.09390	32	0	4
2024.03.11	07:53:00	1.09390	1.09397	1.09390	1.09391	31	0	4
2024.03.11	07:54:00	1.09391	1.09401	1.09391	1.09401	30	0	4
2024.03.11	07:55:00	1.09401	1.09406	1.09400	1.09402	52	0	4
2024.03.11	07:56:00	1.09401	1.09408	1.09401	1.09408	52	0	4
2024.03.11	07:57:00	1.09409	1.09418	1.09408	1.09416	72	0	4
2024.03.11	07:58:00	1.09416	1.09419	1.09413	1.09416	50	0	4
2024.03.11	07:59:00	1.09416	1.09418	1.09411	1.09411	44	0	4
2024.03.11	08:00:00	1.09412	1.09414	1.09388	1.09393	95	0	4
2024.03.11	08:01:00	1.09390	1.09397	1.09388	1.09392	57	0	4
2024.03.11	08:02:00	1.09393	1.09410	1.09391	1.09404	90	0	4
2024.03.11	08:03:00	1.09405	1.09417	1.09404	1.09410	57	0	4
2024.03.11	08:04:00	1.09410	1.09411	1.09403	1.09405	33	0	4
2024.03.11	08:05:00	1.09406	1.09412	1.09406	1.09409	66	0	4
2024.03.11	08:06:00	1.09408	1.09412	1.09393	1.09393	57	0	4
2024.03.11	08:07:00	1.09394	1.09402	1.09393	1.09401	50	0	4
2024.03.11	08:08:00	1.09401	1.09405	1.09399	1.09403	35	0	4
2024.03.11	08:09:00	1.09404	1.09407	1.09401	1.09406	45	0	4
2024.03.11	08:10:00	1.09406	1.09412	1.09405	1.09405	31	0	4
2024.03.11	08:11:00	1.09405	1.09407	1.09390	1.09391	48	0	4
2024.03.11	08:12:00	1.09391	1.09393	1.09388	1.09393	60	0	4
2024.03.11	08:13:00	1.09392	1.09392	1.09384	1.09386	39	0	4
2024.03.11	08:14:00	1.09386	1.09389	1.09378	1.09381	85	0	4
2024.03.11	08:15:00	1.09380	1.09383	1.09375	1.09381	70	0	4
2024.03.11	08:16:00	1.09380	1.09386	1.09380	1.09381	42	0	4
2024.03.11	08:17:00	1.09381	1.09393	1.09379	1.09389	38	0	4
2024.03.11	08:18:00	1.09390	1.09390	1.09386	1.09386	22	0	4
2024.03.11	08:19:00	1.09387	1.09390	1.09375	1.09379	39	0	4
2024.03.11	08:20:00	1.09379	1.09381	1.09374	1.09379	35	0	4
2024.03.11	08:21:00	1.09380	1.09381	1.09378	1.09379	16	0	4
2024.03.11	08:22:00	1.09379	1.09384	1.09378	1.09384	30	0	4
2024.03.11	08:23:00	1.09384	1.09388	1.09381	1.09381	22	0	4
2024.03.11	08:24:00	1.09381	1.09381	1.09374	1.09379	48	0	4
2024.03.11	08:25:00	1.09380	1.09387	1.09378	1.09385	64	0	4
2024.03.11	08:26:00	1.09384	1.09386	1.09380	1.09381	60	0	4
2024.03.11	08:27:00	1.09381	1.09383	1.09379	1.09380	60	0	4
2024.03.11	08:28:00	1.09381	1.09383	1.09374	1.09382	59	0	4
2024.03.11	08:29:00	1.09381	1.09383	1.09375	1.09375	49	0	4
2024.03.11	08:30:00	1.09376	1.09377	1.09368	1.09372	82	0	2
2024.03.11	08:31:00	1.09371	1.09372	1.09353	1.09362	163	0	2
2024.03.11	08:32:00	1.09362	1.09373	1.09362	1.09372	60	0	2
2024.03.11	08:33:00	1.09371	1.09377	1.09370	1.09373	40	0	2
2024.03.11	08:34:00	1.09373	1.09382	1.09372	1.09375	32	0	2
2024.03.11	08:35:00	1.09375	1.09378	1.09369	1.09375	40	0	2
2024.03.11	08:36:00	1.09375	1.09379	1.09373	1.09378	38	0	2
2024.03.11	08:37:00	1.09378	1.09379	1.09373	1.09377	46	0	2
2024.03.11	08:38:00	1.09376	1.09390	1.09375	1.09388	61	0	2
2024.03.11	08:39:00	1.09388	1.09393	1.09383	1.09392	58	0	2
2024.03.11	08:40:00	1.09392	1.09394	1.09389	1.09392	52	0	2
2024.03.11	08:41:00	1.09392	1.09393	1.09385	1.09387	31	0	2
2024.03.11	08:42:00	1.09387	1.09388	1.09386	1.09387	11	0	2
2024.03.11	08:43:00	1.09387	1.09387	1.09380	1.09382	8	0	2
2024.03.11	08:44:00	1.09382	1.09389	1.09377	1.09387	43	0	2
2024.03.11	08:45:00	1.09388	1.09394	1.09382	1.09394	85	0	2
2024.03.11	08:46:00	1.09395	1.09396	1.09390	1.09392	33	0	2
2024.03.11	08:47:00	1.09393	1.09398	1.09385	1.09387	30	0	2
2024.03.11	08:48:00	1.09388	1.09395	1.09388	1.09392	49	0	2
2024.03.11	08:49:00	1.09392	1.09398	1.09392	1.09394	30	0	2
2024.03.11	08:50:00	1.09395	1.09402	1.09394	1.09400	35	0	2
2024.03.11	08:51:00	1.09401	1.09407	1.09399	1.09403	36	0	2
2024.03.11	08:52:00	1.09403	1.09409	1.09400	1.09402	38	0	2
2024.03.11	08:53:00	1.09403	1.09408	1.09400	1.09407	48	0	2
2024.03.11	08:54:00	1.09408	1.09408	1.09402	1.09408	30	0	2
2024.03.11	08:55:00	1.09407	1.09435	1.09407	1.09425	165	0	2
2024.03.11	08:56:00	1.09427	1.09434	1.09425	1.09433	74	0	2
2024.03.11	08:57:00	1.09430	1.09434	1.09421	1.09423	71	0	2
2024.03.11	08:58:00	1.09424	1.09430	1.09422	1.09428	50	0	2
2024.03.11	08:59:00	1.09428	1.09428	1.09418	1.09421	62	0	2
